epoch,train_ce,train_ppl,dev_ce_en-de,dev_ce_de-en,dev_bleu_en-de,dev_bleu_de-en
1,10.481607,35653.66,4.917205,4.470997,8.59,10.72
1,10.481607,35653.66,4.917205,4.470997,8.59,10.72
2,4.321635,75.31,4.083699,3.706490,14.81,19.49
3,3.841098,46.58,3.742738,3.416592,18.11,23.28
4,3.604996,36.78,3.545307,3.281279,19.88,24.52
5,3.457893,31.75,3.435256,3.175518,21.09,26.71
6,3.354291,28.63,3.344067,3.108009,21.86,27.39
7,3.275290,26.45,3.285933,3.063727,23.02,28.14
8,3.212312,24.84,3.236258,3.025660,23.46,28.69
9,3.160039,23.57,3.192200,2.989011,23.55,29.16
10,3.115265,22.54,3.158858,2.951610,23.80,29.01
